geneId	transcriptId	nbExons	nbUmis
Ywhab	undef	0	1145
Pop5	undef	0	409
Ifitm7	undef	0	2
Fkbp3	ENSMUST00000220983.1	5	6
Spata24	ENSMUST00000096573.2	4	25
Slc18b1	ENSMUST00000119597.7	14	17
RP24-177A17.5	undef	0	65
Dclre1a	undef	0	20
Plcl1	undef	0	82
RP23-189N15.6	ENSMUST00000135091.1	2	299
Hibch	ENSMUST00000044478.6	14	51
Sox6	ENSMUST00000205818.1	3	1
Mtmr14	undef	0	136
Znrd1as	ENSMUST00000173814.1	3	4
Trim36	ENSMUST00000037011.4	10	4
Fam160a2	undef	0	78
Smarcd1	ENSMUST00000023759.5	13	14
Ppia-ps	ENSMUST00000177265.1	1	1
RP23-356P21.1	undef	0	1
Sec61g	ENSMUST00000109642.7	4	35
Tor2a	ENSMUST00000175763.7	4	1
Cdk4	ENSMUST00000135179.7	4	14
Pigq	ENSMUST00000124032.1	2	6
Abca3	ENSMUST00000136295.1	11	7
Hnrnpk	ENSMUST00000177019.7	15	245
Lgi1	ENSMUST00000198518.4	8	14
Arhgap33	ENSMUST00000207858.1	21	16
RP24-137C19.1	undef	0	26
Nrxn2	ENSMUST00000154580.1	3	5
RP24-535N4.2	ENSMUST00000114863.8	5	4
Spopl	undef	0	78
Csrp2	ENSMUST00000219840.1	2	73
Nr2f2	ENSMUST00000032768.14	3	32
RP23-227I2.4	ENSMUST00000121696.1	1	1
Il1b	ENSMUST00000028881.13	7	3
Polr1d	undef	0	98
Klf9	ENSMUST00000036884.1	2	21
Tatdn3	undef	0	8
Tmem38b	undef	0	16
Chic2	ENSMUST00000075452.6	6	335
Nsg2	ENSMUST00000109409.7	3	54
Kcnc1	ENSMUST00000160433.2	4	2
Leng9	ENSMUST00000058358.7	1	90
Ddx59	ENSMUST00000129218.6	2	3
AL365322.1	undef	0	32
Exoc1	ENSMUST00000049469.12	18	3
RP23-175I24.3	ENSMUST00000197148.1	2	4
Npepl1	ENSMUST00000044415.15	12	45
Gpbp1l1	ENSMUST00000030460.14	12	2
Mvb12b	ENSMUST00000041555.9	10	70
Naa15	ENSMUST00000193266.5	20	3
Ubiad1	ENSMUST00000051633.2	2	3
Dcx	ENSMUST00000112851.7	7	25
Scml4	ENSMUST00000105494.7	7	1
Rspo1	ENSMUST00000140698.1	2	4
Trip11	undef	0	161
Ginm1	undef	0	59
Lrfn5	ENSMUST00000138980.1	2	143
RP24-271M20.2	ENSMUST00000194021.1	1	2
Timm23	ENSMUST00000163379.1	6	2
Hnrnpa2b1	ENSMUST00000204885.1	2	32
Zc4h2	undef	0	146
Zbbx	undef	0	4
Tmed5	ENSMUST00000117759.1	3	3
Casc4	ENSMUST00000127475.1	2	6
Elavl2	ENSMUST00000107111.8	6	6
Crabp1	undef	0	12
Rassf4	undef	0	15
RP23-206J9.5	ENSMUST00000224521.1	2	3
Fkrp	undef	0	25
RP23-295F17.1	ENSMUST00000118642.1	1	859
Arl15	undef	0	363
Gm24664	ENSMUST00000158939.1	1	1
Fam57b	ENSMUST00000207020.1	4	9
ZNF654	undef	0	76
Vps8	ENSMUST00000117598.7	47	5
Aig1	undef	0	153
Zfp507	undef	0	109
Rapgef6	undef	0	539
Pdlim4	ENSMUST00000018755.9	7	319
Dync2li1	ENSMUST00000025101.8	13	149
RP23-338C22.2	undef	0	20
Rce1	ENSMUST00000224707.1	7	4
RP24-142E6.4	ENSMUST00000195039.1	1	65
Dnajc4	ENSMUST00000179118.1	6	13
RP23-123F24.1	undef	0	1
Afap1l2	ENSMUST00000132851.1	4	1
Ptprs	ENSMUST00000225381.1	7	19
Use1	ENSMUST00000019169.7	8	1051
Eci2	ENSMUST00000178421.7	10	30
Reep3	undef	0	178
Crybb3	undef	0	3
Gls2	ENSMUST00000044776.12	18	2
RP24-250I16.1	ENSMUST00000022467.10	1	3
Cldn34c1	ENSMUST00000113348.7	4	4
Arrdc2	ENSMUST00000002989.10	8	19
Anks1	undef	0	123
Ficd	undef	0	15
Chtf8	ENSMUST00000176090.1	3	2
RP23-34D17.1	ENSMUST00000120762.1	1	22
A730015C16Rik	ENSMUST00000164855.1	1	13
Fbxo16	ENSMUST00000169656.2	7	1
Rpia	undef	0	50
RP23-335F6.3	ENSMUST00000220215.1	4	1
Scaf1	undef	0	86
Fhod3	undef	0	179
Fkbp8	ENSMUST00000119353.8	9	546
Prpf6	ENSMUST00000136481.7	21	10
RP23-209N19.1	ENSMUST00000197530.1	1	34
Chrna3	undef	0	2
Smn1	undef	0	145
Snx2	ENSMUST00000037850.5	15	170
Rps18	ENSMUST00000172799.7	4	1
Slc18b1	ENSMUST00000134170.7	6	2
RP24-462I5.1	undef	0	5
Med24	undef	0	119
Trim25	ENSMUST00000100627.8	5	1
Dync2h1	undef	0	187
RP23-389C9.3	ENSMUST00000194710.1	1	25
Sct	undef	0	3
Nrg1	undef	0	75
Slirp	ENSMUST00000160488.7	3	18
Golga4	ENSMUST00000211826.1	2	1
Fbxl18	undef	0	272
RP23-474A1.1	undef	0	1
RP24-490B17.2	ENSMUST00000191669.1	1	16
Mtmr10	undef	0	40
Stxbp5l	ENSMUST00000123629.1	2	34
Trmt5	ENSMUST00000116420.3	5	7
RP23-255F14.5	undef	0	48
Fam76b	undef	0	146
Zfand3	ENSMUST00000226208.1	6	84
Mrps7	ENSMUST00000058109.8	5	511
Ccdc32	ENSMUST00000110834.7	3	5
Lrrtm1	ENSMUST00000161677.1	2	14
Set	ENSMUST00000102866.9	8	261
Chfr	ENSMUST00000199283.1	7	1
Rrnad1	ENSMUST00000005016.15	8	11
Eci1	ENSMUST00000024946.5	7	103
Abr	ENSMUST00000065028.13	18	29
Gm22533	ENSMUST00000158821.1	1	2
RP23-257P11.4	ENSMUST00000197370.4	3	5
Brox	undef	0	187
RP24-326A21.3	ENSMUST00000181277.2	2	5
Ndufc1	ENSMUST00000135602.2	4	4
Mapre2	ENSMUST00000118826.8	5	1
Mmadhc	ENSMUST00000134480.7	8	38
Rbm18	ENSMUST00000142809.1	2	1
Atp5e	ENSMUST00000149191.1	2	30
Gm27805	ENSMUST00000184513.1	1	2
RP23-264J18.1	ENSMUST00000212863.1	1	3
Gale	ENSMUST00000102541.9	11	54
Nudt5	ENSMUST00000026927.9	10	75
Smad2	undef	0	182
Enah	undef	0	618
Inpp5f	undef	0	422
Lurap1	ENSMUST00000030469.4	2	5
Hist3h2ba	ENSMUST00000078267.4	1	5234
Zfp446	ENSMUST00000045810.14	6	1
Tmem150cos	undef	0	2
Fam71f2	undef	0	4
Nek4	ENSMUST00000226833.1	5	4
Metap2	ENSMUST00000181217.7	11	2
Rnf138	undef	0	569
Cldn3	ENSMUST00000094245.3	1	128
Stra6l	undef	0	9
RP23-467K15.2	undef	0	10
Myc	undef	0	7
Pms2	ENSMUST00000154781.7	4	18
RP23-4F16.9	ENSMUST00000089501.4	1	5
Clcn3	ENSMUST00000093490.8	12	15
G6pdx	ENSMUST00000135894.1	5	2
Fubp3	ENSMUST00000137504.2	2	21
Mkln1	ENSMUST00000137621.7	6	4
Rbm14	undef	0	24
Ralb	undef	0	47
Ccnb1	ENSMUST00000072119.14	9	215
Ubtd1	undef	0	11
Isyna1	ENSMUST00000210878.1	10	37
Cend1	ENSMUST00000124444.1	2	168
RP23-373D7.2	ENSMUST00000186428.1	1	1
RP24-309B14.1	ENSMUST00000206600.1	1	3
Chst1	ENSMUST00000065797.6	3	72
Ldlrad3	undef	0	140
Sertm1	ENSMUST00000070342.3	3	30
Dsel	ENSMUST00000035462.6	2	3
Srr	ENSMUST00000065211.8	9	19
Gusb	ENSMUST00000111308.7	4	14
Gnrh1	ENSMUST00000223951.1	3	1
Sp3	ENSMUST00000102689.9	7	13
Ppp2r2b	ENSMUST00000136118.7	9	3
Cyb561d1	ENSMUST00000065664.6	3	2
Eif4g1	undef	0	595
Bri3bp	ENSMUST00000049040.13	3	141
Rps8-ps4	ENSMUST00000092523.2	1	8
Mapk1ip1	ENSMUST00000118810.1	2	6
Tex9	ENSMUST00000184125.7	12	11
Man2c1	undef	0	93
Tfpi	undef	0	4
Mir143hg	undef	0	1
Ifi27	ENSMUST00000076788.11	4	1
Cbfb	ENSMUST00000109392.8	6	71
Plppr3	ENSMUST00000163111.1	4	2
Dda1	ENSMUST00000124745.7	5	822
Zbtb18	ENSMUST00000195002.1	2	28
Stmn4	ENSMUST00000120229.7	7	387
Gm25559	ENSMUST00000157182.1	1	2
Aup1	ENSMUST00000203749.1	3	7
Xbp1	undef	0	225
Dbp	ENSMUST00000211513.1	3	12
Supt4a	undef	0	96
Zfand6	ENSMUST00000178385.8	7	329
Sar1b	ENSMUST00000020653.5	7	638
Gpr162	undef	0	77
RP23-11F9.1	ENSMUST00000119999.1	1	1
Depdc5	ENSMUST00000139463.5	8	1
Coa3	undef	0	48
RP23-39I3.2	ENSMUST00000105397.9	7	103
Tcf4	ENSMUST00000114982.7	20	19
Rad18	undef	0	47
Ptgds	ENSMUST00000137417.1	6	6
Efcab2	ENSMUST00000027775.8	7	30
Dhx30	ENSMUST00000198843.1	2	7
Nos1ap	undef	0	81
Suz12	ENSMUST00000017692.14	16	9
Gm24145	ENSMUST00000082631.1	1	3
Noct	undef	0	82
Txnrd1	ENSMUST00000020484.7	14	23
Snhg12	ENSMUST00000232301.1	4	2
Ubqln1	undef	0	264
Sft2d1	ENSMUST00000128087.1	2	3
RP24-127M20.7	undef	0	2
RP24-238B3.4	undef	0	8
Kpna1	ENSMUST00000173715.1	3	24
Smek1	ENSMUST00000048305.9	15	3
Tnip2	undef	0	6
RP23-446O17.5	ENSMUST00000203419.1	1	15
Zfp87	undef	0	34
Mlf2	ENSMUST00000032214.13	9	83
Smek1	ENSMUST00000163095.8	15	3
Tmtc3	ENSMUST00000130883.1	2	1
Irs2	ENSMUST00000040514.7	2	68
Slc12a7	undef	0	40
Tmem132b	ENSMUST00000031446.6	9	4
Col2a1	ENSMUST00000023123.14	54	1
Rap1gds1	ENSMUST00000195953.1	2	36
Dlg4	ENSMUST00000231415.1	20	2
Abhd5	undef	0	33
Auh	ENSMUST00000128380.7	6	12
Exoc6b	ENSMUST00000051531.14	18	14
RP23-298N23.4	ENSMUST00000225875.1	1	2
Cnpy3	undef	0	61
Zfp335os	undef	0	147
Lepr	undef	0	1
Fam63b	ENSMUST00000049031.5	9	58
Pth2r	undef	0	1
Cep57l1	ENSMUST00000191498.1	7	2
RP23-34C18.1	ENSMUST00000121365.2	1	63
Pcgf5	undef	0	40
RP24-258B3.3	ENSMUST00000211464.1	1	11
Kctd2	ENSMUST00000103035.9	6	79
Hnrnph3	ENSMUST00000020263.13	10	622
Rpl18a	ENSMUST00000054220.9	5	9766
Yipf1	undef	0	94
Zbtb18	ENSMUST00000195388.1	2	2
Actn1	ENSMUST00000021554.15	21	22
Ccnf	undef	0	18
Rpl23a-ps5	ENSMUST00000194566.1	1	1
Paip2b	ENSMUST00000142806.1	3	11
Ubtf	ENSMUST00000107119.8	20	1
RP23-311O20.1	ENSMUST00000120534.1	1	1
Rplp2	ENSMUST00000134636.1	2	6
Trim37	undef	0	626
Dnajc10	ENSMUST00000028392.7	23	41
Stau2	ENSMUST00000128957.8	12	33
Myo10	ENSMUST00000135173.7	5	32
Zfp503	undef	0	87
Olig1	ENSMUST00000056882.6	1	124
RP23-72B15.1	ENSMUST00000119545.1	1	1
Acot7	ENSMUST00000075363.9	9	655
Atp7a	ENSMUST00000133875.1	3	1
Chek1	ENSMUST00000173977.1	3	1
Mlx	ENSMUST00000107302.7	8	200
Tmem43	ENSMUST00000032183.5	12	49
Malat1	ENSMUST00000173314.1	2	1
RP23-64D23.5	ENSMUST00000206120.1	1	42
Cuta	ENSMUST00000025027.8	7	205
Adarb2	undef	0	367
C2cd5	ENSMUST00000205079.1	4	7
Fez2	ENSMUST00000070039.13	8	60
Hspb11	undef	0	60
Eif5a	ENSMUST00000108607.7	7	1
Hipk1	ENSMUST00000135634.1	9	1
Tbrg1	ENSMUST00000126062.1	3	161
Suv420h2	undef	0	96
Suv420h2	ENSMUST00000108583.8	9	59
Ern1	ENSMUST00000106801.7	11	1
Fgf7	undef	0	2
AC126445.3	ENSMUST00000120569.2	1	5
Mettl3	ENSMUST00000022767.15	11	61
Gosr2	ENSMUST00000021329.13	6	115
Tspan31	undef	0	114
Efnb3	undef	0	208
Kifap3	ENSMUST00000027877.6	20	16
Trim35	ENSMUST00000022623.12	6	354
Gmeb2	ENSMUST00000147665.1	3	10
Smkr-ps	ENSMUST00000124522.1	2	4
Tpx2	ENSMUST00000028969.8	18	13
Hsbp1	ENSMUST00000212795.1	2	18
Brinp3	ENSMUST00000074622.10	8	1
Gm25180	ENSMUST00000157746.1	1	2
Acads	ENSMUST00000031524.10	10	80
Imp4	ENSMUST00000149962.7	8	1
Nsf	ENSMUST00000107009.7	9	1
Mpnd	undef	0	212
RP24-396E16.1	ENSMUST00000195426.1	1	29
Isca2	ENSMUST00000222449.1	3	22
RP24-121I11.2	undef	0	2
Celf3	ENSMUST00000198316.4	14	86
Ppm1a	ENSMUST00000021514.9	6	107
Cenpj	ENSMUST00000229861.1	7	1
RP23-354E8.1	ENSMUST00000199495.1	1	1
Ankib1	ENSMUST00000199763.1	6	2
RP23-325I3.1	ENSMUST00000177007.1	2	10
RP24-500I24.4	ENSMUST00000198544.1	1	1
RP24-87L14.1	undef	0	2
Diablo	undef	0	31
RP23-14P23.10	ENSMUST00000195147.1	1	3
Star	undef	0	23
Hmcn2	undef	0	1
Slit2	undef	0	134
Slirp	undef	0	89
Micall1	undef	0	58
Uqcr10	ENSMUST00000130236.1	2	1
Chmp1b	undef	0	180
RP23-173F3.4	ENSMUST00000129764.7	4	1
Cbwd1	undef	0	59
Pcbp1	ENSMUST00000053015.6	1	1957
Cpt2	ENSMUST00000030345.14	5	21
RP24-540A17.2	undef	0	1
Lztr1	ENSMUST00000231538.1	3	9
Fis1	ENSMUST00000111097.7	4	65
AC157805.2	undef	0	1
Tbrg4	undef	0	52
Apobec4	undef	0	1
Stard3nl	ENSMUST00000199278.2	8	10
Ubap2l	ENSMUST00000199929.1	4	1
Mctp1	ENSMUST00000122843.1	8	1
Fam178b	undef	0	1
Kitl	ENSMUST00000130190.7	4	1
RP23-121N19.2	undef	0	1
Ggnbp1	ENSMUST00000151920.1	3	1
Nop56	ENSMUST00000162063.7	4	2
CH36-500J15.3	ENSMUST00000195348.1	1	1
Asph	ENSMUST00000146441.7	5	14
RP23-350F7.6	ENSMUST00000217587.1	1	2
AC125262.1	undef	0	2
Ly96	ENSMUST00000026881.10	5	4
RP23-414P13.3	undef	0	8
Arhgef17	undef	0	68
Arhgdib	undef	0	9
Spire2	ENSMUST00000010298.6	15	9
RP24-439I22.3	ENSMUST00000208498.1	1	317
Inhba	ENSMUST00000164993.1	3	2
Rps16	ENSMUST00000082134.5	5	14157
AC139867.2	ENSMUST00000112644.8	6	74
Tspan5	ENSMUST00000029800.8	8	251
Kctd3	ENSMUST00000195745.1	2	1
Clock	ENSMUST00000202857.3	18	1
Jazf1	ENSMUST00000074541.5	5	16
Rabggtb	ENSMUST00000167111.5	8	35
Pkp2	ENSMUST00000039408.2	13	1
RP24-428H4.2	undef	0	1
Dmrt3	undef	0	58
Map3k10	ENSMUST00000138243.1	2	30
Meis3	ENSMUST00000176714.2	3	3
Trp53i11	undef	0	277
Edem2	ENSMUST00000040833.4	11	110
Sstr2	undef	0	58
Ccnl1	ENSMUST00000132998.1	2	1
Gprin2	undef	0	7
Angptl6	undef	0	192
Cd109	ENSMUST00000163608.1	2	2
Wasf2	undef	0	195
RP23-71G18.3	undef	0	9
Alcam	ENSMUST00000023312.13	16	27
RP23-204O17.4	ENSMUST00000197075.1	1	14
Dock9	undef	0	50
Zfp553	ENSMUST00000056232.6	2	68
Oxr1	ENSMUST00000166917.2	6	84
Cdk8	ENSMUST00000161181.7	13	1
Tnfrsf23	undef	0	4
Arhgap12	ENSMUST00000077128.12	18	11
Tmem240	undef	0	35
RP24-311F12.5	ENSMUST00000221936.1	1	1
Plxnb1	undef	0	130
Fam227b	undef	0	4
Vstm5	undef	0	23
Zcchc7	ENSMUST00000147272.7	3	6
Mutyh	ENSMUST00000102699.7	16	1
Dolpp1	ENSMUST00000113612.9	7	1
Bbx	ENSMUST00000131695.7	11	2
AC165086.3	ENSMUST00000059390.12	31	89
Dguok	ENSMUST00000113888.2	6	61
RP24-406I15.1	ENSMUST00000217860.1	2	5
RP23-200C3.9	ENSMUST00000203819.1	1	5
RP23-372C7.8	ENSMUST00000198488.1	1	3
Rmdn3	undef	0	83
Ppil3	ENSMUST00000081677.11	7	27
Abat	ENSMUST00000140795.1	3	1
Chp1	undef	0	159
Psmd9	undef	0	289
Arhgap29	undef	0	16
RP23-117P3.3	undef	0	9
Senp5	ENSMUST00000023457.12	10	1
Slc25a17	ENSMUST00000231140.1	8	8
Nrbp1	ENSMUST00000031034.11	18	232
Eldr	ENSMUST00000130392.7	3	2
Palm	ENSMUST00000105379.2	8	629
Rev3l	undef	0	942
RP23-326O5.6	undef	0	1
Lnpk	ENSMUST00000064503.12	13	30
Taf1c	ENSMUST00000147964.7	15	2
Dctd	undef	0	51
Wwc2	undef	0	57
Smox	ENSMUST00000110181.7	7	1
Hmgcl	ENSMUST00000135644.1	2	2
RP24-323P9.1	ENSMUST00000221090.1	1	2
RP23-219K16.2	ENSMUST00000197562.1	1	8
Smim7	ENSMUST00000167290.7	5	689
Tfap2e	ENSMUST00000048194.7	7	4
Stk4	ENSMUST00000018353.13	11	1
Ephb6	ENSMUST00000114732.2	18	24
RP23-262I17.3	ENSMUST00000223046.1	1	7
RP23-478L20.2	undef	0	5
Zfp90	ENSMUST00000212874.1	5	1
Eftud2	ENSMUST00000148209.1	2	23
RP24-498C9.3	undef	0	5
Ppib	ENSMUST00000213785.1	4	1
Stxbp5	undef	0	44
RP23-114P22.5	undef	0	4
Pip4k2a	undef	0	50
Rbm10	undef	0	336
RP23-123N11.2	undef	0	1
Bmf	ENSMUST00000090219.12	5	2
Pecr	ENSMUST00000027381.12	8	23
Hnrnpab	ENSMUST00000074669.9	7	1149
RP24-175C20.1	undef	0	1
Mir691	ENSMUST00000199719.1	1	1
Slc25a36	undef	0	87
RP24-257M14.2	undef	0	1
Pgap2	undef	0	142
Ahsa1	ENSMUST00000223239.1	6	3
Rpl18	ENSMUST00000209287.1	6	112
Cstf3	ENSMUST00000028599.7	21	25
Ppp2r4	ENSMUST00000131476.7	3	18
Atp2b1	ENSMUST00000218419.1	2	2
Wnt6	ENSMUST00000006716.7	4	1
Ly6e	ENSMUST00000051698.13	4	28
Dirc2	ENSMUST00000023554.8	9	48
RP23-392P11.4	ENSMUST00000145773.1	3	39
Rps27	ENSMUST00000199031.4	3	17
Ccdc84	ENSMUST00000214370.1	5	1
Abi2	ENSMUST00000187709.6	10	1
Adamtsl2	undef	0	7
Clasrp	ENSMUST00000086041.6	21	32
Epdr1	undef	0	20
Adamts5	undef	0	17
Tmub2	ENSMUST00000135551.1	3	2
Rtn4	undef	0	2866
Aplp2	ENSMUST00000217641.1	16	20
Dcaf6	undef	0	48
Emc10	ENSMUST00000118808.7	7	754
Pgls	ENSMUST00000034264.10	5	1416
Got1	undef	0	52
Prpf18	undef	0	91
Kdelr3	undef	0	6
Sav1	ENSMUST00000220735.1	3	3
RP23-335G1.5	ENSMUST00000206710.1	1	1
Tmbim6	ENSMUST00000159209.7	10	5
Rmdn3	ENSMUST00000094695.11	13	131
Zfp280d	undef	0	375
Kdm5b	ENSMUST00000047714.13	27	6
Mtif2	ENSMUST00000156352.1	2	19
Acsl4	undef	0	7
Oser1	undef	0	34
Wnt7a	ENSMUST00000132936.2	2	2
Hbb-bs	ENSMUST00000023934.7	3	35666
Rita1	ENSMUST00000156356.1	3	5
Ssbp4	ENSMUST00000049908.10	17	65
Txnrd2	undef	0	39
Fkbp14	ENSMUST00000046520.12	4	16
Rbm3	undef	0	282
RP23-392I3.13	ENSMUST00000081241.1	1	493
RP24-100O13.2	ENSMUST00000205580.1	1	30
Kiz	ENSMUST00000099278.8	14	78
Jph3	ENSMUST00000026357.11	5	3
Otx2	ENSMUST00000152018.7	5	3
Hacd1	undef	0	14
Lsm2	ENSMUST00000007266.13	5	29
Rbm33	ENSMUST00000144967.7	5	3
Dbnl	ENSMUST00000020769.13	13	58
Mtch1	undef	0	450
Zcchc4	ENSMUST00000113904.8	13	6
Rai2	ENSMUST00000112338.1	2	76
Zfp952	ENSMUST00000087666.10	4	14
RP23-39I7.3	ENSMUST00000154694.1	2	4
Pdcd6	ENSMUST00000022060.6	6	566
Tcp1	ENSMUST00000151287.7	12	1524
Pde5a	undef	0	69
Yipf5	undef	0	121
RP23-379C24.1	ENSMUST00000194121.1	1	2
Ndufb5	ENSMUST00000154257.7	5	3
Drd	ENSMUST00000221470.1	2	3
Ccdc115	undef	0	44
Upf3a	undef	0	264
Them6	ENSMUST00000070923.2	2	4
Srsf4	ENSMUST00000053819.5	6	482
Rhcg	undef	0	23
Rrnad1	ENSMUST00000159091.8	7	5
Eif2b1	undef	0	77
Tmem234	ENSMUST00000181579.7	5	1
Cutc	ENSMUST00000112047.9	9	17
Rhno1	ENSMUST00000057421.14	3	86
Nploc4	undef	0	75
RP24-568B16.3	undef	0	2
Hivep2	ENSMUST00000186989.6	5	1
Gm26902	undef	0	8
Mynn	ENSMUST00000195751.1	8	7
RP23-354E8.2	ENSMUST00000181574.5	4	13
Pet100	ENSMUST00000207389.1	4	8
Psmb7	ENSMUST00000028083.5	8	2241
Plpp7	ENSMUST00000146502.1	3	3
Dlgap1	ENSMUST00000155823.6	2	86
Anxa7	ENSMUST00000100844.5	14	29
Rps23-ps1	ENSMUST00000116115.2	1	9074
Rpl27a-ps1	ENSMUST00000075382.5	1	1
Fam98c	ENSMUST00000147561.7	7	5
Asb1	undef	0	46
S100a1	ENSMUST00000060738.8	3	44
Map3k5	undef	0	9
RP23-169M4.4	undef	0	3
Plk4	ENSMUST00000203895.2	16	2
Rps6	ENSMUST00000136174.7	4	39
RP24-391B9.1	undef	0	3
Dnajb13	undef	0	1
Ttc37	ENSMUST00000225341.1	2	2
Tmem67	ENSMUST00000151859.1	3	7
Prkcg	undef	0	89
Polr1d	ENSMUST00000110557.4	3	854
Crcp	ENSMUST00000202756.1	4	2
RP23-49M18.5	undef	0	2
RP23-291K4.4	ENSMUST00000221586.1	1	2
Celf2	ENSMUST00000150624.8	12	6
Phactr1	ENSMUST00000149235.7	14	1
Rabgap1l	undef	0	258
Armc10	ENSMUST00000095495.2	5	3
Lin7c	undef	0	471
Atr	ENSMUST00000187356.6	6	4
Ndufv1	ENSMUST00000148283.1	2	1
Zfp592	undef	0	37
Wnt7b	ENSMUST00000109424.3	4	38
Ubp1	undef	0	140
Hes6	ENSMUST00000132188.7	3	24
Mtap	undef	0	30
Poldip3	ENSMUST00000058793.13	9	90
Pnck	undef	0	130
Spsb4	ENSMUST00000064445.1	2	9
Alas1	undef	0	30
Washc5	undef	0	85
Bag1	ENSMUST00000215842.1	7	341
Pard6a	undef	0	145
RP24-106M14.2	ENSMUST00000034564.2	4	1
Psme1	ENSMUST00000173388.1	5	1
Six5	ENSMUST00000049454.5	3	1
Izumo4	undef	0	66
Hmgn2	ENSMUST00000137456.7	5	31
Hmgcs1	undef	0	799
RP23-358D12.3	ENSMUST00000198654.1	1	8
Tomm40	ENSMUST00000093552.11	10	600
RP23-170E15.2	ENSMUST00000199216.1	1	12
Tm2d3	ENSMUST00000107495.4	6	51
Gramd1a	ENSMUST00000001280.13	19	305
Pgam5	ENSMUST00000112505.8	6	79
Ddx41	ENSMUST00000224765.1	17	100
Rfc3	undef	0	117
Vgll4	ENSMUST00000155620.1	4	1
RP24-84I4.2	undef	0	11
Nfib	ENSMUST00000107245.8	11	8
Phgdh	undef	0	96
Diras2	undef	0	15
Dhrs13	undef	0	66
Fam92a	ENSMUST00000126808.7	4	23
Cryzl1	ENSMUST00000073466.12	13	245
Dclre1a	ENSMUST00000183216.1	3	1
Rmst	ENSMUST00000218314.1	2	5
Dhx36	ENSMUST00000160858.1	3	3
Phospho2	undef	0	57
Rbm34	ENSMUST00000045994.7	11	31
RP24-97K3.3	ENSMUST00000212778.1	1	6
Acbd4	undef	0	43
Actl6b	ENSMUST00000139395.7	14	643
Phtf2	ENSMUST00000118174.7	18	3
Rnf123	ENSMUST00000178267.7	39	3
Gmnn	ENSMUST00000175689.7	7	8
Bcap29	ENSMUST00000020979.8	7	6
Atg3	undef	0	207
Ptov1	ENSMUST00000046575.16	12	1795
RP23-413D14.9	ENSMUST00000180411.2	2	2
Rnd3	ENSMUST00000154545.1	4	1
P3h3	ENSMUST00000023958.9	15	5
Gsdma	undef	0	1
Adck5	undef	0	101
Robo2	undef	0	547
Surf2	ENSMUST00000135506.1	2	1
Usb1	undef	0	38
Islr2	undef	0	887
Mgat4c	ENSMUST00000146230.7	3	21
Ap4s1	undef	0	72
Nosip	ENSMUST00000003513.10	9	103
Smg1	undef	0	161
Efcab14	ENSMUST00000074425.12	12	1
Txndc12	ENSMUST00000030296.8	7	324
Fbxl5	ENSMUST00000124421.1	5	8
Rpl31	ENSMUST00000178079.7	5	195
RP24-511A23.2	undef	0	6
Aen	ENSMUST00000172017.1	2	12
Preb	ENSMUST00000202567.1	8	1
Nos1	undef	0	114
RP23-16J8.5	undef	0	20
RP23-338N2.4	undef	0	2
Epha7	ENSMUST00000080934.10	10	5
Snrnp27	ENSMUST00000113683.1	5	2
RP24-548J11.2	ENSMUST00000232678.1	1	19
Tmem129	ENSMUST00000019439.8	4	37
Sec22c	undef	0	52
Lrrc8c	undef	0	31
Mfn2	undef	0	101
Khdrbs3	undef	0	353
Phactr1	ENSMUST00000066928.11	12	4
Obsl1	undef	0	35
Pyurf	ENSMUST00000053386.5	2	1
Dlgap5	undef	0	30
Dpf2	undef	0	140
Mbd5	ENSMUST00000142250.1	2	30
RP24-219F17.3	undef	0	3
Mir338	ENSMUST00000083666.1	1	14
Zfp605	undef	0	105
Mdm1	undef	0	92
Hars2	ENSMUST00000019287.8	12	10
Samd3	undef	0	12
Uchl3	ENSMUST00000226521.1	2	7
Hsd17b4	undef	0	120
Ssrp1	ENSMUST00000130729.2	15	4
AC133195.2	undef	0	1
Atg14	ENSMUST00000042988.6	10	23
Gmip	undef	0	215
Pdk4	ENSMUST00000134068.1	2	1
Dnajc7	ENSMUST00000132886.1	4	4
Xpo6	ENSMUST00000168189.7	24	7
Zfp81	ENSMUST00000054072.8	4	48
Pafah1b2	ENSMUST00000215060.1	6	11
RP23-112E4.7	ENSMUST00000119844.1	1	1
Lingo1	undef	0	162
Nelfe	ENSMUST00000174888.1	3	2
Ildr2	undef	0	20
Stx4a	ENSMUST00000033075.13	11	47
Pop7	ENSMUST00000031728.4	2	402
Uqcc1	ENSMUST00000006036.12	7	1
Nmt2	ENSMUST00000091504.4	13	3
Eif4e2	ENSMUST00000113235.7	8	3
Gdf5	ENSMUST00000040162.2	2	13
Nasp	ENSMUST00000148436.1	3	4
Fign	ENSMUST00000126042.1	2	6
Snrnp35	ENSMUST00000031349.8	2	111
Flywch2	undef	0	62
Apbb2	undef	0	261
RP23-330D3.2	undef	0	2
RP23-226P4.9	ENSMUST00000117568.1	1	7
Prokr2	undef	0	14
M1ap	undef	0	1
Surf1	ENSMUST00000129822.7	8	1
Sntb2	ENSMUST00000212524.1	7	6
Arglu1	undef	0	355
Cdc7	ENSMUST00000031221.11	12	7
Ube2d-ps	ENSMUST00000137510.7	3	84
Txnrd3	ENSMUST00000000828.12	16	21
Gle1	undef	0	266
Fgfr1	ENSMUST00000117179.8	18	17
Mrps18b	ENSMUST00000025305.15	7	230
Fbxl2	undef	0	35
